1509,1495,1480,1061,10,1563,350,936,367,1025,490,407,1084,929,67,1068,1149,68,249,1095,96,1288,1259,514,560,1384,1092,978,135,63,248,1375,1279,1096,1189,1225,999,1187,1180,1113,1307,1467,1237,
Score Information 
1509 : 0.16897443974808118
1495 : 0.08486231451787091
1480 : 0.06618547860609392
1061 : 0.06229364489152459
10 : 0.04661102332610339
1563 : 0.041458716134310465
350 : 0.03854878487083262
936 : 0.03645417156872665
367 : 0.030778159649718775
1025 : 0.024631551225020042
490 : 0.0230101058265157
407 : 0.019760747566598055
1084 : 0.019237041957183895
929 : 0.018325177429331485
67 : 0.01687505348682636
1068 : 0.016501778253365365
1149 : 0.01508606506821651
68 : 0.014355203275746053
249 : 0.014084931043858403
1095 : 0.013556388733517551
96 : 0.01265422286042444
1288 : 0.00965217943485154
1259 : 0.009588390149045339
514 : 0.00944587688801525
560 : 0.00828578813329108
1384 : 0.008231075159157311
1092 : 0.006870191264572052
978 : 0.006870191264572052
135 : 0.006652128357315812
63 : 0.006652128357315812
248 : 0.006652128357315812
1375 : 0.006652128357315812
1279 : 0.006068433785447369
1096 : 0.005989099898287173
1189 : 0.005943583783739759
1225 : 0.005542011795792433
999 : 0.005542011795792433
1187 : 0.005505477860512479
1180 : 0.005505477860512479
1113 : 0.005351328677586043
1307 : 0.00499719556459218
1467 : 0.00499719556459218
1237 : 0.00499719556459218
